Time,Speed,File,Speed_mps,Acceleration,Power_W,CumulativeTime
56,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,56
57,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,57
58,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,58
59,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,59
60,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,60
61,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,61
62,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,62
63,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,63
64,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,64
65,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,65
66,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,66
67,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,67
68,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,68
69,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,69
70,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,70
71,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,71
72,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,72
73,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,73
74,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,74
75,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,75
76,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,76
77,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,77
78,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,78
79,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,79
80,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,80
81,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,81
82,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,82
83,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,83
84,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,84
85,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,85
86,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,86
87,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,87
88,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,88
89,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,89
90,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,90
91,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,91
92,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,92
93,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,93
94,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,94
95,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,95
96,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,96
97,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,97
98,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,98
99,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,99
100,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,100
101,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,101
102,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,102
103,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,103
104,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,104
105,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,105
106,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,106
107,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,107
108,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,108
109,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,109
110,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,110
111,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,111
112,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,112
113,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,113
114,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,114
115,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,115
116,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,116
117,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,117
118,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,118
119,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,119
120,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,120
121,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,121
122,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,122
123,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,123
124,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,124
125,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,125
126,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,126
127,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,127
128,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,128
129,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,129
130,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,130
131,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,131
132,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,132
133,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,133
134,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,134
135,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,135
136,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,136
137,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,137
138,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,138
139,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,139
140,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,140
141,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,141
142,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,142
143,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,143
144,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,144
145,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,145
146,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,146
147,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,147
148,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,148
149,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,149
150,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,150
151,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,151
152,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,152
153,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,153
154,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,154
155,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,155
156,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,156
157,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,157
158,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,158
159,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,159
160,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,160
161,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,161
162,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,162
163,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,163
164,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,164
165,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,165
166,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,166
167,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,167
168,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,168
169,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,169
170,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,170
171,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,171
172,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,172
173,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,173
174,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,174
175,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,175
176,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,176
177,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,177
178,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,178
179,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,179
180,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,180
181,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,181
182,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,182
183,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,183
184,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,184
185,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,185
186,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,186
187,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,187
188,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,188
189,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,189
190,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,190
191,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,191
192,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,192
193,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,193
194,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,194
195,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,195
196,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,196
197,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,197
198,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,198
199,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,199
200,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,200
201,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,201
202,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,202
203,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,203
204,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,204
205,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,205
206,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,206
207,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,207
208,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,208
209,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,209
210,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,210
211,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,211
212,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,212
213,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,213
214,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,214
215,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,215
216,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,216
217,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,217
218,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,218
219,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,219
220,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,220
221,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,221
222,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,222
223,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,223
224,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,224
225,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,225
226,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,226
227,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,227
228,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,228
229,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,229
230,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,230
231,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,231
232,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,232
233,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,233
234,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,234
235,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,235
236,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,236
237,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,237
238,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,238
239,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,239
240,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,240
241,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,241
242,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,242
243,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,243
244,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,244
245,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,245
246,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,246
247,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,247
248,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,248
249,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,249
250,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,250
251,1.96,reduced_speed_1C_180W_2mph.txt,0.8761983999999999,0.0,164.6872813098722,251
