cycle_sec	speed_mph
0	0.0
1	0.0
2	0.0
3	0.0
4	0.0
5	0.0
6	4.2832102248375
7	7.7754035134875
8	11.709636225360835
9	15.728895119773336
10	19.721721678771665
11	23.628657098297083
12	27.31336372695667
13	30.59752095646667
14	33.362629706603336
15	35.60724838257708
16	37.4341580328575
17	38.98242138795458
18	40.36210187430917
19	41.638759496493336
20	42.839579939370005
21	43.96026632081667
22	44.98608647361334
23	45.91220408014333
24	46.7411489066
25	47.46972154278
26	48.09107673943667
27	48.61272938982667
28	49.06421823351334
29	49.48207606895333
30	49.890558888953336
31	50.298446469766674
32	50.708417387433336
33	51.11779306601333
34	51.50826990376667
35	51.84696094138
36	52.10365779548
37	52.26786937717667
38	52.35380701962667
39	52.38922374503333
40	52.39919399966
41	52.40269102925667
42	52.41690236231333
43	52.45440242447334
44	52.5157120499
45	52.58654550061334
46	52.64361404761
47	52.66846527930334
48	52.66072717127668
49	52.63929856425666
50	52.63059319272667
51	52.65350989731333
52	52.71243856649333
53	52.80165002387
54	52.91236449309
55	53.03505814886667
56	53.16095121464667
57	53.28617463651667
58	53.413927824480005
59	53.550832813313335
60	53.7009818717
61	53.86340773623667
62	54.03476218687334
63	54.21392915056
64	54.40239672486334
65	54.59979288546668
66	54.80165333907001
67	55.00098402658001
68	55.188261122810005
69	55.34949650907333
70	55.468023491243336
71	55.53342538535333
72	55.55053850902
73	55.53788967845334
74	55.51727952529
75	55.50351462147333
76	55.49979437730667
77	55.50053842614
78	55.49778544537667
79	55.48625268816
80	55.46527051048
81	55.43580617594001
82	55.39681801611333
83	55.34875246024
84	55.30038928477333
85	55.26772554023
86	55.263782081293336
87	55.29012141065334
88	55.33759172744
89	55.39421384509667
90	55.45329132402334
91	55.51311285168333
92	55.57040461335001
93	55.62226481831333
94	55.67672919439334
95	55.75076205521
96	55.84890209878667
97	55.95150643556334
98	56.03603038517
99	56.107831099386665
100	56.19696815194
101	56.283129009060005
102	56.20931936291333
103	55.81259251480001
104	55.219436769686666
105	54.814450979283336
106	54.86393022800001
107	55.31028513457667
108	55.84830685970001
109	56.15984011419668
110	56.17375382776
111	56.02680417937667
112	55.83744374649334
113	55.649199386860005
114	55.42174365263
115	55.044510884530006
116	54.51080464266
117	54.0112502432
118	53.78379450897
119	53.88885420701667
120	54.126726625113335
121	54.23141429864333
122	54.14220284116667
123	54.00447939867667
124	53.94912216401667
125	53.966979336516665
126	53.983050791656666
127	53.96452397524667
128	53.92322926399667
129	53.872485132183336
130	53.82248504930334
131	53.7924998806
132	53.80671121365668
133	53.87977681097001
134	54.00604190126667
135	54.15849751107667
136	54.30113167610667
137	54.410804476900005
138	54.48811115264333
139	54.54867672923667
140	54.60961433024666
141	54.67776920512001
142	54.74391514816334
143	54.79116225028
144	54.80678727618
145	54.7858050985
146	54.72948060043667
147	54.64183164555
148	54.5291082444
149	54.40105743694334
150	54.26824471679333
151	54.14250046076
152	54.03915207515
153	53.97263410779
154	53.953809671786665
155	53.99130973394667
156	54.08922656295334
157	54.24361669977
158	54.43900392844334
159	54.645923914233336
160	54.82940636127334
161	54.96765063802667
162	55.06430258393667
163	55.14257652318334
164	55.22300820420667
165	55.303588694876666
166	55.36780011081334
167	55.40916922708668
168	55.43774070294666
169	55.47137171109333
170	55.525464062656674
171	55.60120823581
172	55.685360161000006
173	55.75827694856667
174	55.79778594265667
175	55.79116390788
176	55.75076205521
177	55.71199710995334
178	55.71259234904
179	55.769735300860006
180	55.875241428146666
181	56.00500354804001
182	56.12933411123
183	56.22665570115
184	56.29295045394
185	56.33930469737668
186	56.38387322365334
187	56.43826319481
188	56.49823353231667
189	56.551433025200005
190	56.58729617994666
191	56.59682000523334
192	56.57263841755
193	56.5134865337
194	56.42546555449668
195	56.31683442203001
196	56.18870920965001
197	56.030747638313336
198	55.83171457029667
199	55.59666953788668
200	55.35187746542
201	55.133127102820005
202	54.96809706736667
203	54.86564154033667
204	54.816162291720005
205	54.796742616630006
206	54.77977830281001
207	54.74711455816667
208	54.69927221696333
209	54.65120666109
210	54.61995660929
211	54.61251612075667
212	54.62323042431667
213	54.64153402605666
214	54.65745667145
215	54.66229298906666
216	54.65046261225668
217	54.62070065812333
218	54.57628094169333
219	54.52531359531
220	54.47769446877666
221	54.439747977276674
222	54.411027691570006
223	54.38595324520667
224	54.36050677452667
225	54.33848292842
226	54.32940553247334
227	54.33818530892668
228	54.35901867676
229	54.38379550353
230	54.41415269675001
231	54.46147420379
232	54.53982254796001
233	54.65976322287333
234	54.82129622873
235	55.01266559364333
236	55.21720462308667
237	55.41698174003668
238	55.59666953788668
239	55.75210134313
240	55.88930395145667
241	56.01341130007667
242	56.123753744880005
243	56.21594139769001
244	56.283203413883335
245	56.32062907122
246	56.33104575518668
247	56.32181954939333
248	56.299051654453336
249	56.26899208082667
250	56.236923575270005
251	56.20180446945667
252	56.15455736734
253	56.07896200393334
254	55.95939335333667
255	55.79213117138334
256	55.58327665848667
257	55.33863339586667
258	55.06132638850334
259	54.756191954213335
260	54.437813450270006
261	54.13372068430667
262	53.87025298568334
263	53.652990720750005
264	53.46318385852667
265	53.26928472762
266	53.04272185207
267	52.77136723557333
268	52.46295898625667
269	52.13728880362667
270	51.81675255800667
271	51.51883539748
272	51.249415307990006
273	51.002837518363336
274	50.76719724676667
275	50.52471172582333
276	50.25015769932334
277	49.91317797404666
278	49.48021594687
279	48.92150966356
280	48.23066030411
281	47.43847149098001
282	46.60163974675
283	45.77976338441
284	45.02120557942667
285	44.3572163835
286	43.80044462729667
287	43.34754209086668
288	42.97931231379
289	42.660561785430005
290	42.345085072096666
291	41.97767374877667
292	41.49872950248
293	40.865990358353336
294	40.07848905299333
295	39.17766910749667
296	38.21553953647334
297	37.200954521300005
298	36.06769371431
299	34.69983430405
300	32.99983148613
301	30.95711976683667
302	28.66693739923667
303	26.27310902643333
304	23.88039672698
305	21.51246125419667
306	19.14244244476
307	16.75478967749333
308	14.366467266216668
309	11.99935024719
310	9.673639546898334
311	7.450905207740001
312	5.476087946198334
313	3.943161298073333
314	2.973851655638333
315	2.566001277206667
316	2.723739633913333
317	3.5651100761866665
318	5.217158945568333
319	7.638703138083333
320	10.553923744155
321	13.553296275406668
322	16.315614842318332
323	18.73626617618333
324	20.844528599433332
325	22.68344533811667
326	24.277123574993336
327	25.63196213037
328	26.745431237953337
329	27.628021986633332
330	28.31485348222333
331	28.85547937836333
332	29.29774201625667
333	29.68315932172333
334	30.046701591030004
335	30.40682123556333
336	30.756152171813333
337	31.064411611283337
338	31.28651019373333
339	31.37006687993667
340	31.264635157473336
341	30.935839969663338
342	30.380705120873337
343	29.632861619350003
344	28.754139924683333
345	27.817233609770003
346	26.881071343690003
347	25.962468630516668
348	25.013955153563334
349	23.92176584315333
350	22.52905520120001
351	20.671016407120003
