Time [sec]	Flow [L/min]	Outlet fluid Temp. [°C]	Inlet fluid Temp. [°C]	Cell cathode 1 Temp. [°C]	Cell cathode 2 Temp. [°C]	Cell cathode 3 Temp. [°C]	Cell anode 1 Temp. [°C]	Cell anode 2 Temp. [°C]	I (8 cells pack) [A]	V_cell [V]
1	0.998	45.319	45.22	45.224	45.143	45.137	45.203	45.154	0	2.5
2	0.998	45.317	45.221	45.225	45.142	45.135	45.203	45.153	0	2.5
3	0.984	45.315	45.219	45.222	45.143	45.133	45.196	45.156	0	2.5
4	1.005	45.313	45.219	45.225	45.146	45.136	45.199	45.154	0	2.5
5	0.998	45.312	45.218	45.223	45.141	45.134	45.195	45.153	0	2.5
6	1.002	45.312	45.219	45.225	45.14	45.137	45.197	45.155	39.7	2.62
7	1.012	45.309	45.221	45.226	45.14	45.136	45.194	45.155	39.9	2.71
8	0.991	45.312	45.222	45.222	45.143	45.137	45.194	45.152	39.9	2.76
9	1.002	45.313	45.22	45.224	45.143	45.134	45.191	45.15	39.9	2.8
10	1.009	45.309	45.221	45.224	45.141	45.129	45.193	45.153	39.9	2.84
11	1.012	45.312	45.222	45.224	45.143	45.131	45.188	45.149	39.9	2.87
12	0.998	45.309	45.223	45.224	45.139	45.127	45.185	45.152	39.9	2.9
13	0.994	45.306	45.221	45.224	45.143	45.129	45.186	45.15	39.9	2.93
14	1.002	45.308	45.221	45.224	45.138	45.127	45.187	45.149	39.9	2.94
15	1.005	45.309	45.224	45.224	45.139	45.131	45.187	45.152	39.9	2.97
16	0.998	45.307	45.222	45.225	45.139	45.128	45.187	45.152	39.9	2.98
17	0.991	45.305	45.222	45.223	45.142	45.132	45.186	45.154	39.9	2.99
18	1.012	45.303	45.224	45.223	45.14	45.129	45.187	45.153	39.9	3.01
19	0.98	45.304	45.224	45.223	45.14	45.131	45.187	45.153	39.9	3.02
20	0.998	45.304	45.224	45.223	45.14	45.13	45.188	45.15	39.9	3.03
21	1.012	45.302	45.221	45.221	45.143	45.129	45.187	45.152	39.9	3.04
22	1.023	45.3	45.225	45.224	45.14	45.132	45.188	45.152	39.9	3.05
23	0.998	45.3	45.223	45.224	45.141	45.128	45.188	45.151	39.9	3.06
24	0.998	45.301	45.224	45.226	45.141	45.13	45.188	45.152	39.9	3.07
25	1.016	45.3	45.223	45.223	45.14	45.134	45.186	45.152	39.9	3.08
26	1.009	45.299	45.228	45.224	45.144	45.132	45.188	45.15	39.9	3.09
27	0.991	45.297	45.224	45.222	45.141	45.132	45.188	45.153	39.9	3.1
28	0.991	45.295	45.226	45.224	45.143	45.131	45.189	45.15	39.9	3.11
29	1.005	45.296	45.226	45.221	45.143	45.133	45.191	45.152	39.9	3.12
30	0.987	45.297	45.226	45.223	45.144	45.133	45.194	45.151	39.9	3.13
31	0.984	45.294	45.223	45.223	45.142	45.134	45.192	45.154	39.9	3.13
32	0.994	45.295	45.227	45.224	45.142	45.133	45.193	45.151	39.9	3.14
33	1.002	45.294	45.227	45.225	45.141	45.133	45.191	45.154	39.9	3.15
34	0.998	45.295	45.225	45.223	45.143	45.131	45.192	45.152	39.9	3.16
35	1.005	45.293	45.227	45.223	45.143	45.133	45.192	45.151	39.9	3.16
36	1.005	45.291	45.225	45.223	45.142	45.134	45.195	45.152	39.9	3.17
37	1.009	45.294	45.228	45.224	45.141	45.132	45.195	45.152	39.9	3.17
38	0.994	45.29	45.225	45.221	45.144	45.134	45.197	45.148	39.9	3.18
39	0.998	45.292	45.226	45.224	45.141	45.135	45.196	45.152	39.9	3.19
40	0.994	45.289	45.228	45.224	45.139	45.134	45.196	45.152	39.9	3.2
41	1.002	45.29	45.226	45.225	45.139	45.136	45.193	45.15	39.9	3.2
42	0.984	45.291	45.227	45.222	45.141	45.134	45.192	45.149	39.9	3.21
43	1.016	45.288	45.226	45.222	45.143	45.135	45.198	45.15	39.9	3.21
44	0.998	45.289	45.228	45.223	45.144	45.134	45.198	45.149	39.9	3.22
45	0.994	45.288	45.225	45.223	45.145	45.137	45.196	45.15	39.9	3.22
46	0.987	45.287	45.226	45.223	45.142	45.135	45.196	45.148	39.9	3.23
47	0.994	45.287	45.224	45.225	45.142	45.131	45.196	45.152	39.9	3.23
48	0.984	45.288	45.224	45.224	45.143	45.134	45.199	45.151	39.9	3.24
49	0.994	45.287	45.224	45.223	45.145	45.133	45.197	45.149	39.9	3.24
50	1.012	45.286	45.224	45.223	45.144	45.136	45.198	45.151	39.9	3.25
51	0.994	45.289	45.222	45.224	45.143	45.133	45.196	45.151	39.9	3.25
52	1.005	45.285	45.226	45.223	45.14	45.135	45.198	45.151	39.9	3.26
53	0.994	45.285	45.224	45.223	45.141	45.135	45.198	45.149	39.9	3.26
54	1.012	45.285	45.223	45.224	45.144	45.135	45.197	45.151	39.9	3.27
55	1.002	45.284	45.225	45.223	45.144	45.136	45.198	45.15	39.9	3.27
56	0.994	45.287	45.225	45.225	45.142	45.135	45.199	45.152	39.9	3.28
57	1.009	45.285	45.223	45.223	45.143	45.134	45.199	45.152	39.9	3.28
58	0.994	45.286	45.223	45.226	45.145	45.137	45.199	45.151	39.9	3.28
59	0.994	45.286	45.223	45.225	45.146	45.135	45.202	45.152	39.9	3.29
60	1.005	45.284	45.224	45.224	45.143	45.136	45.201	45.15	39.9	3.29
61	1.005	45.284	45.221	45.222	45.145	45.137	45.202	45.15	39.9	3.3
62	0.994	45.283	45.223	45.224	45.145	45.134	45.204	45.149	39.9	3.3
63	0.998	45.285	45.222	45.226	45.148	45.135	45.204	45.149	39.9	3.31
64	1.002	45.285	45.222	45.223	45.147	45.136	45.207	45.151	39.9	3.31
65	1.002	45.282	45.222	45.224	45.146	45.138	45.206	45.147	39.9	3.31
66	0.994	45.284	45.223	45.223	45.149	45.138	45.207	45.151	39.9	3.32
67	1.002	45.285	45.224	45.223	45.146	45.137	45.206	45.152	39.9	3.32
68	0.998	45.281	45.224	45.225	45.149	45.137	45.205	45.151	39.9	3.32
69	1.002	45.284	45.221	45.222	45.146	45.138	45.207	45.151	39.9	3.33
70	1.012	45.284	45.22	45.226	45.147	45.136	45.206	45.15	39.9	3.33
71	1.012	45.282	45.221	45.226	45.147	45.137	45.205	45.149	39.9	3.33
72	1.002	45.284	45.22	45.224	45.147	45.138	45.205	45.151	39.9	3.34
73	1.012	45.283	45.218	45.225	45.148	45.136	45.201	45.152	39.9	3.34
74	0.998	45.28	45.22	45.225	45.145	45.137	45.2	45.152	39.9	3.34
75	1.005	45.281	45.22	45.224	45.147	45.136	45.2	45.147	39.9	3.35
76	0.984	45.284	45.22	45.227	45.145	45.136	45.201	45.149	39.9	3.35
77	0.994	45.286	45.217	45.224	45.147	45.138	45.199	45.149	39.9	3.35
78	0.984	45.284	45.22	45.223	45.148	45.139	45.199	45.148	39.9	3.36
79	0.991	45.282	45.219	45.226	45.147	45.139	45.201	45.147	39.9	3.36
80	1.012	45.284	45.219	45.223	45.146	45.136	45.201	45.147	39.9	3.36
81	1.002	45.284	45.217	45.226	45.148	45.14	45.201	45.148	39.9	3.36
82	0.998	45.283	45.219	45.226	45.146	45.135	45.2	45.152	39.9	3.37
83	1.009	45.284	45.221	45.227	45.145	45.139	45.203	45.146	39.9	3.37
84	1.002	45.28	45.22	45.224	45.147	45.14	45.202	45.149	39.9	3.37
85	0.991	45.283	45.22	45.224	45.146	45.139	45.205	45.149	39.9	3.38
86	0.976	45.28	45.218	45.222	45.144	45.139	45.205	45.149	39.9	3.38
87	1.016	45.28	45.219	45.223	45.146	45.138	45.202	45.15	39.9	3.38
88	0.991	45.282	45.218	45.224	45.146	45.139	45.206	45.149	39.9	3.38
89	1.002	45.283	45.221	45.223	45.146	45.136	45.208	45.145	39.9	3.39
90	0.991	45.278	45.218	45.226	45.144	45.14	45.204	45.149	39.9	3.39
91	0.991	45.282	45.219	45.224	45.146	45.141	45.206	45.149	39.9	3.39
92	1.005	45.281	45.221	45.226	45.147	45.138	45.207	45.149	39.9	3.39
93	1.002	45.278	45.221	45.225	45.147	45.141	45.211	45.148	39.9	3.4
94	0.994	45.282	45.221	45.223	45.147	45.139	45.211	45.146	39.9	3.4
95	1.005	45.283	45.22	45.226	45.149	45.14	45.212	45.148	39.9	3.4
96	1.012	45.281	45.219	45.226	45.148	45.139	45.208	45.148	39.9	3.4
97	0.998	45.281	45.218	45.225	45.147	45.139	45.211	45.15	39.9	3.41
98	1.009	45.28	45.22	45.225	45.146	45.142	45.21	45.151	39.9	3.41
99	0.991	45.281	45.218	45.226	45.146	45.141	45.211	45.151	39.9	3.41
100	1.009	45.28	45.221	45.225	45.148	45.144	45.21	45.149	39.9	3.41
101	1.009	45.281	45.22	45.225	45.149	45.14	45.211	45.151	39.9	3.41
102	0.998	45.281	45.218	45.226	45.149	45.14	45.21	45.15	39.9	3.41
103	1.005	45.28	45.218	45.224	45.15	45.139	45.211	45.149	39.9	3.42
104	1.002	45.28	45.22	45.226	45.151	45.142	45.211	45.151	39.9	3.42
105	1.012	45.283	45.218	45.226	45.15	45.142	45.209	45.148	39.9	3.42
106	0.987	45.283	45.218	45.226	45.151	45.142	45.21	45.148	39.9	3.42
107	1.005	45.285	45.22	45.226	45.152	45.141	45.209	45.151	39.9	3.43
108	1.016	45.282	45.218	45.227	45.151	45.141	45.204	45.153	39.9	3.43
109	1.005	45.282	45.219	45.227	45.153	45.143	45.209	45.151	39.9	3.43
110	1.002	45.28	45.22	45.226	45.151	45.142	45.206	45.151	39.9	3.43
111	0.998	45.283	45.218	45.229	45.154	45.142	45.204	45.154	39.9	3.43
112	0.998	45.283	45.216	45.228	45.151	45.141	45.205	45.153	39.9	3.43
113	1.002	45.281	45.215	45.227	45.151	45.144	45.204	45.154	39.9	3.44
114	1.002	45.281	45.219	45.227	45.15	45.145	45.21	45.15	39.9	3.44
115	1.016	45.283	45.216	45.225	45.151	45.142	45.211	45.153	39.9	3.44
116	1.002	45.282	45.217	45.227	45.15	45.142	45.209	45.153	39.9	3.44
117	1.02	45.283	45.216	45.228	45.15	45.144	45.211	45.152	39.9	3.44
118	0.994	45.281	45.213	45.229	45.153	45.142	45.209	45.15	39.9	3.44
119	0.998	45.283	45.214	45.227	45.15	45.143	45.216	45.152	39.9	3.45
120	0.994	45.284	45.215	45.226	45.151	45.143	45.213	45.152	39.9	3.45
121	1.002	45.282	45.213	45.225	45.151	45.144	45.214	45.15	39.9	3.45
122	1.002	45.284	45.213	45.228	45.149	45.144	45.212	45.149	39.9	3.45
123	0.994	45.284	45.216	45.228	45.15	45.142	45.212	45.149	39.9	3.45
124	0.984	45.284	45.215	45.228	45.154	45.143	45.211	45.151	39.9	3.45
125	1.009	45.284	45.214	45.228	45.151	45.144	45.209	45.15	39.9	3.45
126	0.991	45.285	45.214	45.228	45.151	45.144	45.209	45.15	39.9	3.45
127	1.002	45.287	45.213	45.228	45.151	45.143	45.213	45.151	39.9	3.46
128	0.984	45.284	45.214	45.228	45.153	45.144	45.207	45.15	39.9	3.46
129	1.009	45.284	45.215	45.23	45.151	45.143	45.209	45.152	39.9	3.46
130	0.998	45.284	45.217	45.229	45.153	45.145	45.205	45.153	39.9	3.46
131	1.009	45.283	45.214	45.231	45.156	45.144	45.209	45.151	39.9	3.46
132	1.005	45.286	45.215	45.227	45.154	45.146	45.205	45.151	39.9	3.46
133	0.998	45.286	45.215	45.227	45.153	45.147	45.208	45.149	39.9	3.46
134	1.002	45.287	45.218	45.229	45.153	45.145	45.213	45.15	39.9	3.46
135	1.005	45.287	45.217	45.228	45.153	45.146	45.213	45.151	39.9	3.47
136	1.002	45.285	45.217	45.228	45.154	45.144	45.22	45.153	39.9	3.47
137	1.02	45.288	45.215	45.228	45.154	45.143	45.222	45.154	39.9	3.47
138	1.002	45.285	45.218	45.227	45.156	45.146	45.223	45.151	39.9	3.47
139	1.005	45.285	45.221	45.229	45.152	45.145	45.225	45.153	39.9	3.47
140	0.994	45.287	45.218	45.228	45.156	45.147	45.227	45.152	39.9	3.47
141	1.002	45.285	45.22	45.228	45.154	45.145	45.226	45.152	39.9	3.47
142	0.998	45.287	45.219	45.231	45.153	45.145	45.229	45.151	39.9	3.47
143	0.98	45.287	45.218	45.232	45.155	45.147	45.233	45.15	39.9	3.47
144	0.998	45.285	45.217	45.228	45.154	45.147	45.234	45.152	39.9	3.47
145	1.012	45.287	45.22	45.23	45.154	45.146	45.233	45.153	39.9	3.47
146	0.998	45.284	45.221	45.228	45.158	45.147	45.232	45.152	39.9	3.48
147	1.012	45.286	45.221	45.23	45.157	45.146	45.233	45.153	39.9	3.48
148	0.994	45.285	45.222	45.228	45.156	45.146	45.231	45.155	39.9	3.48
149	0.998	45.286	45.219	45.227	45.159	45.15	45.232	45.154	39.9	3.48
150	1.009	45.285	45.218	45.23	45.16	45.151	45.232	45.153	39.9	3.48
151	0.991	45.285	45.219	45.229	45.156	45.146	45.233	45.158	39.9	3.48
152	1.005	45.286	45.218	45.229	45.155	45.147	45.229	45.156	39.9	3.48
153	0.987	45.289	45.217	45.228	45.155	45.151	45.232	45.154	39.9	3.48
154	0.998	45.287	45.216	45.227	45.153	45.149	45.23	45.155	39.9	3.48
155	1.005	45.286	45.219	45.227	45.153	45.147	45.229	45.154	39.9	3.48
156	0.984	45.287	45.219	45.228	45.156	45.147	45.231	45.153	39.9	3.48
157	1.002	45.29	45.216	45.23	45.158	45.147	45.229	45.153	39.9	3.48
158	0.998	45.288	45.216	45.229	45.155	45.149	45.227	45.157	39.9	3.49
159	0.994	45.288	45.214	45.231	45.152	45.15	45.227	45.153	39.9	3.49
160	1.016	45.29	45.214	45.228	45.156	45.15	45.23	45.156	39.9	3.49
161	0.998	45.288	45.216	45.228	45.154	45.148	45.231	45.153	39.9	3.49
162	0.998	45.291	45.213	45.228	45.153	45.148	45.23	45.156	39.9	3.49
163	1.005	45.288	45.218	45.229	45.154	45.148	45.232	45.156	39.9	3.49
164	1.002	45.292	45.216	45.229	45.151	45.146	45.234	45.157	39.9	3.49
165	1.012	45.293	45.215	45.23	45.153	45.149	45.232	45.158	39.9	3.49
166	0.994	45.291	45.215	45.228	45.155	45.149	45.23	45.158	39.9	3.49
167	1.005	45.293	45.216	45.232	45.153	45.148	45.23	45.16	39.9	3.49
168	0.984	45.294	45.215	45.231	45.155	45.15	45.231	45.156	39.9	3.49
169	1.005	45.295	45.216	45.229	45.154	45.149	45.234	45.156	39.9	3.49
170	0.994	45.294	45.219	45.227	45.155	45.15	45.233	45.158	39.9	3.49
171	1.02	45.295	45.217	45.23	45.154	45.147	45.236	45.156	39.9	3.49
172	0.994	45.295	45.216	45.229	45.159	45.149	45.243	45.158	39.9	3.49
173	1.012	45.297	45.217	45.23	45.156	45.151	45.249	45.156	39.9	3.49
174	0.991	45.295	45.22	45.229	45.156	45.15	45.255	45.157	39.9	3.49
175	1.012	45.296	45.216	45.228	45.154	45.147	45.252	45.159	39.9	3.49
176	0.987	45.297	45.216	45.231	45.154	45.15	45.253	45.157	39.9	3.5
177	0.984	45.296	45.217	45.23	45.153	45.15	45.252	45.155	39.9	3.5
178	1.02	45.294	45.213	45.229	45.153	45.149	45.256	45.156	39.9	3.5
179	1.002	45.297	45.217	45.229	45.152	45.149	45.259	45.157	39.9	3.5
180	1.012	45.298	45.214	45.229	45.152	45.151	45.262	45.157	39.9	3.5
181	0.994	45.298	45.213	45.229	45.156	45.151	45.266	45.159	39.9	3.5
182	1.002	45.299	45.213	45.229	45.155	45.151	45.263	45.156	39.9	3.5
183	0.998	45.3	45.212	45.232	45.154	45.151	45.263	45.159	39.9	3.5
184	0.998	45.299	45.213	45.231	45.156	45.15	45.263	45.159	39.9	3.5
185	0.987	45.302	45.212	45.229	45.155	45.151	45.263	45.158	39.9	3.5
186	0.998	45.301	45.214	45.228	45.156	45.149	45.259	45.161	39.9	3.5
187	1.002	45.302	45.211	45.23	45.156	45.154	45.261	45.157	39.9	3.5
188	0.994	45.303	45.214	45.227	45.157	45.151	45.262	45.157	39.9	3.5
189	0.987	45.303	45.211	45.229	45.153	45.149	45.259	45.16	39.9	3.5
190	0.994	45.306	45.212	45.229	45.157	45.153	45.259	45.161	39.9	3.5
191	0.991	45.304	45.211	45.23	45.155	45.153	45.26	45.157	39.9	3.5
192	0.994	45.304	45.21	45.229	45.158	45.152	45.258	45.157	39.9	3.5
193	1.023	45.305	45.209	45.233	45.155	45.153	45.257	45.159	39.9	3.51
194	0.994	45.306	45.21	45.23	45.155	45.152	45.257	45.157	39.9	3.51
195	0.991	45.31	45.209	45.228	45.16	45.152	45.255	45.156	39.9	3.51
196	0.998	45.305	45.208	45.229	45.158	45.152	45.252	45.157	39.9	3.51
197	1.009	45.305	45.209	45.229	45.157	45.153	45.253	45.156	39.9	3.51
198	1.005	45.305	45.208	45.231	45.158	45.152	45.25	45.155	39.9	3.51
199	0.998	45.307	45.207	45.229	45.157	45.153	45.252	45.16	39.9	3.51
200	1.005	45.307	45.207	45.231	45.157	45.153	45.254	45.156	39.9	3.51
201	0.994	45.307	45.207	45.23	45.156	45.151	45.249	45.157	39.9	3.51
202	0.994	45.308	45.207	45.229	45.161	45.154	45.247	45.154	39.9	3.51
203	1.002	45.309	45.205	45.23	45.16	45.153	45.248	45.155	39.9	3.51
204	0.998	45.31	45.208	45.231	45.161	45.155	45.251	45.156	39.9	3.51
205	1.002	45.309	45.207	45.229	45.158	45.154	45.249	45.159	39.9	3.51
206	0.991	45.309	45.205	45.23	45.16	45.155	45.252	45.154	39.9	3.51
207	0.994	45.31	45.208	45.231	45.163	45.154	45.254	45.157	39.9	3.51
208	0.994	45.312	45.204	45.229	45.159	45.153	45.252	45.157	39.9	3.51
209	1.012	45.312	45.206	45.229	45.16	45.155	45.252	45.16	39.9	3.51
210	0.984	45.317	45.206	45.229	45.157	45.153	45.251	45.16	39.9	3.52
211	1.016	45.317	45.205	45.229	45.161	45.157	45.256	45.157	39.9	3.52
212	0.994	45.314	45.206	45.229	45.159	45.157	45.256	45.155	39.9	3.52
213	0.994	45.316	45.205	45.23	45.159	45.153	45.257	45.158	39.9	3.52
214	1.009	45.316	45.206	45.229	45.158	45.153	45.262	45.159	39.9	3.52
215	1.002	45.315	45.205	45.229	45.158	45.157	45.264	45.159	39.9	3.52
216	0.998	45.316	45.206	45.229	45.156	45.153	45.268	45.162	39.9	3.52
217	0.994	45.319	45.205	45.231	45.158	45.155	45.273	45.162	39.9	3.52
218	0.991	45.322	45.208	45.229	45.161	45.157	45.277	45.162	39.9	3.52
219	1.02	45.319	45.203	45.227	45.161	45.157	45.28	45.163	39.9	3.52
220	1.005	45.318	45.205	45.229	45.159	45.154	45.281	45.162	39.9	3.52
221	1.002	45.319	45.202	45.231	45.158	45.153	45.284	45.163	39.9	3.52
222	0.998	45.318	45.202	45.231	45.159	45.152	45.286	45.161	39.9	3.52
223	0.994	45.318	45.206	45.231	45.16	45.152	45.289	45.163	39.9	3.52
224	0.998	45.32	45.206	45.232	45.161	45.156	45.288	45.16	39.9	3.52
225	0.994	45.319	45.202	45.23	45.16	45.157	45.289	45.161	39.9	3.52
226	1.002	45.319	45.202	45.227	45.159	45.157	45.291	45.16	39.9	3.52
227	1.009	45.318	45.202	45.229	45.162	45.157	45.289	45.16	39.9	3.52
228	1.002	45.32	45.202	45.228	45.165	45.159	45.287	45.162	39.9	3.52
229	0.994	45.323	45.204	45.229	45.162	45.157	45.286	45.16	39.9	3.52
230	0.998	45.322	45.203	45.229	45.163	45.159	45.288	45.162	39.9	3.52
231	1.005	45.324	45.203	45.229	45.162	45.159	45.291	45.158	39.9	3.52
232	1.009	45.326	45.204	45.23	45.159	45.158	45.285	45.156	39.9	3.52
233	0.994	45.324	45.201	45.229	45.159	45.157	45.289	45.158	39.9	3.52
234	0.987	45.326	45.203	45.229	45.159	45.157	45.289	45.16	39.9	3.52
235	0.998	45.325	45.206	45.228	45.159	45.154	45.289	45.155	39.9	3.52
236	1.005	45.325	45.206	45.228	45.156	45.157	45.293	45.159	39.9	3.52
237	1.016	45.327	45.205	45.23	45.156	45.155	45.293	45.157	39.9	3.53
238	0.987	45.325	45.206	45.229	45.156	45.157	45.292	45.157	39.9	3.53
239	1.009	45.327	45.203	45.231	45.159	45.155	45.29	45.159	39.9	3.53
240	1.002	45.326	45.203	45.228	45.158	45.158	45.287	45.156	39.9	3.53
241	0.994	45.329	45.202	45.226	45.156	45.158	45.286	45.158	39.9	3.53
242	1.002	45.327	45.202	45.23	45.16	45.159	45.285	45.157	39.9	3.53
243	1.002	45.328	45.204	45.23	45.157	45.157	45.284	45.156	39.9	3.53
244	0.998	45.331	45.204	45.23	45.16	45.157	45.284	45.158	39.9	3.53
245	1.002	45.33	45.203	45.23	45.156	45.156	45.284	45.158	39.9	3.53
246	1.016	45.329	45.204	45.227	45.158	45.154	45.283	45.155	39.9	3.53
247	0.991	45.33	45.201	45.23	45.158	45.159	45.285	45.158	39.9	3.53
248	0.987	45.33	45.203	45.227	45.155	45.156	45.285	45.157	39.9	3.53
249	0.98	45.333	45.204	45.229	45.158	45.155	45.283	45.156	39.9	3.53
250	0.98	45.331	45.203	45.229	45.158	45.156	45.287	45.156	39.9	3.53
251	0.994	45.332	45.204	45.234	45.159	45.156	45.288	45.156	39.9	3.53
252	0.994	45.333	45.204	45.229	45.158	45.159	45.287	45.153	39.9	3.53
253	0.984	45.333	45.204	45.228	45.157	45.157	45.289	45.156	39.9	3.53
254	1.009	45.333	45.205	45.227	45.158	45.156	45.292	45.157	39.9	3.53
255	0.998	45.332	45.205	45.23	45.157	45.158	45.293	45.156	39.9	3.53
256	1.002	45.334	45.206	45.229	45.156	45.154	45.297	45.157	39.9	3.53
257	1.02	45.335	45.203	45.23	45.156	45.155	45.301	45.157	39.9	3.53
258	1.005	45.333	45.204	45.23	45.158	45.155	45.303	45.158	39.9	3.54
259	1.005	45.336	45.206	45.228	45.156	45.155	45.307	45.158	39.9	3.54
260	1.02	45.337	45.209	45.227	45.164	45.158	45.309	45.158	39.9	3.54
261	0.991	45.337	45.206	45.231	45.163	45.156	45.309	45.156	39.9	3.54
262	1.002	45.337	45.208	45.227	45.161	45.154	45.307	45.158	39.9	3.54
263	1.005	45.339	45.205	45.229	45.163	45.155	45.307	45.158	39.9	3.54
264	0.994	45.34	45.208	45.231	45.159	45.154	45.306	45.163	39.9	3.54
265	1.005	45.341	45.208	45.229	45.16	45.154	45.306	45.159	39.9	3.54
266	1.002	45.341	45.21	45.228	45.162	45.158	45.306	45.157	39.9	3.54
267	1.012	45.344	45.205	45.231	45.16	45.156	45.306	45.161	39.9	3.54
268	1.009	45.341	45.207	45.228	45.157	45.156	45.305	45.159	39.9	3.54
269	1.005	45.341	45.21	45.229	45.16	45.159	45.304	45.16	39.9	3.54
270	0.998	45.346	45.208	45.23	45.159	45.158	45.306	45.16	39.9	3.54
271	0.994	45.343	45.212	45.23	45.16	45.158	45.307	45.164	39.9	3.54
272	1.005	45.343	45.211	45.228	45.162	45.161	45.308	45.161	39.9	3.54
273	1.005	45.344	45.209	45.229	45.161	45.159	45.31	45.161	39.9	3.54
274	1.005	45.345	45.211	45.229	45.16	45.158	45.314	45.162	39.9	3.54
275	1.02	45.344	45.208	45.229	45.16	45.158	45.315	45.158	39.9	3.54
276	1.002	45.35	45.21	45.226	45.156	45.158	45.319	45.161	39.9	3.54
277	0.994	45.35	45.209	45.226	45.157	45.156	45.323	45.163	39.9	3.54
278	1.009	45.347	45.211	45.228	45.157	45.158	45.324	45.16	39.9	3.54
279	0.994	45.349	45.21	45.228	45.159	45.158	45.324	45.159	39.9	3.54
280	0.998	45.35	45.21	45.229	45.16	45.158	45.327	45.161	39.9	3.54
281	0.98	45.351	45.209	45.229	45.159	45.158	45.327	45.162	39.9	3.54
282	1.012	45.35	45.208	45.226	45.158	45.157	45.331	45.163	39.9	3.55
283	0.991	45.351	45.208	45.228	45.157	45.156	45.33	45.161	39.9	3.55
284	0.998	45.352	45.21	45.227	45.155	45.155	45.329	45.161	39.9	3.55
285	0.98	45.35	45.21	45.229	45.156	45.158	45.331	45.16	39.9	3.55
286	0.994	45.352	45.21	45.228	45.156	45.154	45.329	45.161	39.9	3.55
287	0.998	45.353	45.21	45.227	45.156	45.158	45.328	45.163	39.9	3.55
288	1.012	45.354	45.21	45.227	45.155	45.155	45.331	45.161	39.9	3.55
289	0.998	45.355	45.209	45.226	45.156	45.156	45.331	45.159	39.9	3.55
290	1.012	45.355	45.209	45.229	45.156	45.156	45.332	45.16	39.9	3.55
291	0.998	45.356	45.206	45.226	45.155	45.154	45.334	45.159	39.9	3.55
292	0.994	45.356	45.207	45.227	45.157	45.156	45.338	45.158	39.9	3.55
293	1.016	45.358	45.207	45.229	45.157	45.153	45.339	45.158	39.9	3.55
294	0.984	45.36	45.207	45.227	45.156	45.154	45.34	45.16	39.9	3.55
295	0.987	45.358	45.208	45.224	45.154	45.153	45.336	45.162	39.9	3.55
296	1.009	45.361	45.206	45.227	45.155	45.154	45.334	45.16	39.9	3.55
297	0.994	45.359	45.207	45.226	45.156	45.155	45.329	45.161	39.9	3.55
298	1.016	45.361	45.208	45.226	45.155	45.155	45.326	45.159	39.9	3.55
299	0.998	45.358	45.205	45.224	45.155	45.154	45.321	45.162	39.9	3.55
300	1.009	45.362	45.21	45.225	45.156	45.153	45.319	45.162	39.9	3.55
301	1.02	45.362	45.208	45.226	45.156	45.154	45.319	45.164	39.9	3.55
302	1.016	45.363	45.208	45.225	45.156	45.155	45.322	45.162	39.9	3.55
303	0.987	45.364	45.21	45.228	45.156	45.155	45.318	45.162	39.9	3.55
304	0.994	45.365	45.208	45.225	45.153	45.155	45.32	45.162	39.9	3.55
305	1.009	45.364	45.206	45.227	45.155	45.154	45.322	45.161	39.9	3.56
306	0.991	45.365	45.207	45.224	45.153	45.152	45.323	45.162	39.9	3.56
307	1.052	45.368	45.209	45.227	45.155	45.155	45.33	45.164	39.9	3.56
308	1.005	45.365	45.207	45.224	45.153	45.155	45.329	45.162	39.9	3.56
309	1.012	45.367	45.208	45.224	45.155	45.153	45.327	45.162	39.9	3.56
310	0.984	45.366	45.208	45.224	45.155	45.151	45.325	45.162	39.9	3.56
311	1.012	45.369	45.208	45.224	45.155	45.151	45.323	45.164	39.9	3.56
312	0.984	45.364	45.207	45.226	45.154	45.151	45.318	45.162	39.9	3.56
313	0.991	45.365	45.206	45.224	45.155	45.152	45.317	45.162	39.9	3.56
314	0.998	45.365	45.205	45.226	45.156	45.153	45.314	45.161	39.9	3.56
315	0.991	45.366	45.206	45.227	45.158	45.15	45.314	45.158	39.9	3.56
316	0.998	45.365	45.206	45.223	45.157	45.155	45.311	45.159	39.9	3.56
317	1.002	45.366	45.205	45.226	45.157	45.153	45.313	45.161	39.9	3.56
318	1.009	45.368	45.207	45.227	45.154	45.153	45.312	45.16	39.9	3.56
319	0.987	45.369	45.206	45.222	45.153	45.153	45.311	45.162	39.9	3.56
320	0.991	45.37	45.204	45.223	45.155	45.153	45.318	45.158	39.9	3.56
321	0.991	45.37	45.208	45.225	45.155	45.15	45.317	45.162	39.9	3.56
322	0.994	45.368	45.204	45.223	45.153	45.153	45.321	45.159	39.9	3.56
323	1.002	45.369	45.205	45.224	45.153	45.153	45.321	45.161	39.9	3.56
324	1.012	45.369	45.204	45.224	45.154	45.151	45.317	45.159	39.9	3.56
325	0.987	45.369	45.205	45.222	45.156	45.155	45.314	45.157	39.9	3.56
326	0.98	45.372	45.206	45.222	45.156	45.155	45.311	45.16	39.9	3.56
327	0.984	45.369	45.206	45.221	45.156	45.154	45.313	45.159	39.9	3.56
328	1.002	45.373	45.205	45.223	45.157	45.154	45.311	45.161	39.9	3.56
329	0.994	45.37	45.205	45.222	45.156	45.155	45.312	45.162	39.9	3.56
